date,prior_close,pred_high,pred_low,actual_high,actual_low,actual_close,h_err_pct,l_err_pct,direction_pred,dir_correct,regime,vix,cov68h,cov68l,cov90h,cov90l,condor,net_pnl_dollars,short_call,short_put,long_call,long_put,conf_68_high_lo,conf_68_high_hi,conf_68_low_lo,conf_68_low_hi,conf_90_high_lo,conf_90_high_hi,conf_90_low_lo,conf_90_low_hi
2026-02-02,6939.03,6986.08,6871.18,6991.92,6914.34,6976.44,0.0841,0.622,BULLISH,True,YELLOW,17.44,True,True,True,True,WIN,874.8,7016.92,6825.85,7026.92,6815.85,6955.25,7016.92,6825.85,6916.51,6925.09,7047.08,6789.98,6952.38
2026-02-03,6976.44,7023.75,6908.22,6993.08,6862.05,6917.81,0.4396,0.6618,BULLISH,False,GREEN,16.34,False,False,True,True,LOSS,554.73,7052.24,6864.72,7062.24,6854.72,6995.25,7052.24,6864.72,6951.73,6962.42,7085.08,6826.59,6989.86
2026-02-04,6917.81,6964.72,6850.17,6936.09,6838.8,6882.72,0.4139,0.1643,BULLISH,False,YELLOW,18.0,False,True,True,True,WIN,901.29,6992.98,6803.81,7002.98,6793.81,6936.47,6992.98,6803.81,6896.52,6903.91,7025.53,6768.28,6932.05
2026-02-05,6882.72,6929.39,6815.42,6857.85,6780.13,6798.4,1.0395,0.5127,BULLISH,False,YELLOW,18.64,False,True,False,True,WIN,929.81,6957.5,6769.3,6967.5,6759.3,6901.28,6957.5,6769.3,6861.54,6868.89,6989.9,6733.95,6896.89
2026-02-06,6798.4,6844.5,6731.92,6944.89,6816.74,6932.3,1.4767,1.2476,BULLISH,True,YELLOW,21.77,False,False,False,False,LOSS,78.78,6872.27,6686.37,6882.27,6676.37,6816.73,6872.27,6686.37,6777.48,6784.74,6904.26,6651.46,6812.39
2026-02-09,6932.3,6979.31,6864.51,6980.1,6905.87,6964.82,0.0114,0.5966,BULLISH,True,YELLOW,20.37,True,True,True,True,WIN,1027.45,7010.12,6811.83,7020.12,6801.83,6948.5,7010.12,6811.83,6917.2,6916.43,7042.19,6779.93,6949.09
2026-02-10,6964.82,7012.05,6896.72,6986.83,6937.53,6941.81,0.3621,0.586,BULLISH,False,YELLOW,17.36,True,True,True,True,WIN,873.99,7043.0,6850.05,7053.0,6840.05,6981.1,7043.0,6850.05,6943.39,6948.87,7075.23,6814.28,6979.15
2026-02-11,6941.81,6988.88,6873.93,6993.48,6911.97,6941.47,0.0662,0.548,BULLISH,False,GREEN,17.79,True,True,True,True,WIN,893.53,7017.24,6830.64,7027.24,6820.64,6960.53,7017.24,6830.64,6917.22,6927.86,7049.91,6792.27,6955.59
2026-02-12,6941.47,6988.54,6873.6,6973.22,6824.04,6832.76,0.2207,0.7139,BULLISH,False,GREEN,17.65,True,False,True,True,LOSS,193.9,7016.35,6830.96,7026.35,6820.96,6960.73,7016.35,6830.96,6916.23,6927.52,7049.56,6791.94,6955.25
2026-02-13,6832.76,6879.09,6765.95,6881.96,6794.55,6836.17,0.0419,0.4186,BULLISH,True,YELLOW,20.82,True,True,True,True,WIN,1035.37,6906.47,6723.34,6916.47,6713.34,6851.72,6906.47,6723.34,6808.56,6819.03,6939.16,6685.57,6846.33
2026-02-17,6836.17,6882.53,6769.32,6866.99,6775.5,6843.22,0.2273,0.0903,BULLISH,True,YELLOW,20.6,True,True,True,True,WIN,1024.54,6909.92,6726.7,6919.92,6716.7,6855.14,6909.92,6726.7,6811.95,6822.43,6942.62,6688.91,6849.74
2026-02-18,6843.22,6889.63,6776.31,6909.12,6849.66,6881.31,0.2849,1.0719,BULLISH,True,YELLOW,20.29,True,False,True,True,WIN,1009.6,6916.84,6734.28,6926.84,6724.28,6862.41,6916.84,6734.28,6818.34,6829.73,6949.52,6698.67,6853.94
2026-02-19,6881.31,6927.97,6814.02,6879.12,6833.06,6861.89,0.7099,0.2766,BULLISH,False,GREEN,19.62,False,True,True,True,WIN,980.59,6955.55,6771.76,6965.55,6761.76,6900.4,6955.55,6771.76,6856.29,6867.75,6988.2,6733.07,6894.97
2026-02-20,6861.89,6908.42,6794.79,6915.86,6836.33,6909.51,0.1084,0.6053,BULLISH,True,YELLOW,20.23,True,False,True,True,WIN,1009.35,6935.92,6755.4,6945.92,6745.4,6880.93,6935.92,6755.4,6834.18,6848.37,6968.48,6714.07,6875.52
2026-02-23,6909.51,6956.36,6841.95,6916.96,6819.82,6837.75,0.5703,0.3202,BULLISH,False,GREEN,19.09,False,True,True,True,WIN,957.09,6984.05,6802.28,6994.05,6792.28,6928.68,6984.05,6802.28,6881.61,6898.16,7014.57,6763.56,6920.33
2026-02-24,6837.75,6884.12,6770.89,6899.17,6815.43,6890.07,0.2201,0.6514,BULLISH,True,YELLOW,21.01,True,False,True,True,WIN,1045.98,6912.05,6728.89,6922.05,6718.89,6856.19,6912.05,6728.89,6812.89,6826.52,6941.71,6693.32,6848.46
2026-02-25,6890.07,6936.79,6822.7,6952.51,6915.15,6946.13,0.2281,1.3418,BULLISH,True,GREEN,19.55,True,False,True,False,WIN,978.24,6964.4,6780.38,6974.4,6770.38,6909.19,6964.4,6780.38,6865.01,6881.94,6991.65,6746.61,6898.79
2026-02-26,6946.13,6993.23,6878.21,6947.25,6859.73,6908.86,0.662,0.266,BULLISH,False,GREEN,17.93,False,True,True,True,WIN,901.46,7020.86,6835.55,7030.86,6825.55,6965.61,7020.86,6835.55,6920.87,6943.89,7042.58,6801.5,6954.92
